id,source_id,food_id,orig_content,unit,quantity_ref
2423,2,234,650.0,mg,100
2424,2,237,1800.0,mg,100
2429,2,241,1900.0,mg,100
2430,2,242,13680.0,mg,100
2431,2,243,12300.0,mg,100
2433,2,246,13050.0,mg,100
2435,2,247,2450.0,mg,100
2441,2,249,1800.0,mg,100
2443,2,252,1500.0,mg,100
2448,2,253,1200.0,mg,100
2451,2,256,900.0,mg,100
2471,2,261,1000.0,mg,100
2479,2,264,1000.0,mg,100
2488,2,268,300.0,mg,100
2506,2,269,8700.0,mg,100
2548,2,270,12000.0,mg,100
2936,2,272,10250.0,mg,100
2951,2,273,75160.0,mg,100
2952,2,274,5000.0,mg,100
3010,2,275,7400.0,mg,100
3130,2,277,0.0,mg,100
3138,2,279,0.0,mg,100
3143,2,280,17100.0,mg,100
